Kolczyk; data urodzenia; p³eæ; waga; nr kojca; id rasy
PL-0012-1001; 2010-06-16; tak; 102; 13; 16
PL-0012-1002; 2010-06-16; tak; 90; 8; 16
PL-0012-1003; 2010-06-16; nie; 62; 15; 6
PL-0012-1004; 2010-06-16; nie; 98; 20; 12
PL-0012-1005; 2010-06-16; nie; 100; 17; 13
PL-0012-1006; 2010-07-01; tak; 66; 11; 12
PL-0012-1007; 2010-07-02; tak; 72; 19; 14
PL-0012-1008; 2010-07-03; tak; 62; 12; 18
PL-0012-1009; 2010-07-04; tak; 92; 20; 1
PL-0012-1010; 2010-07-05; nie; 78; 3; 9
PL-0012-1011; 2010-07-06; tak; 76; 3; 13
PL-0012-1012; 2010-07-07; nie; 81; 2; 20
PL-0012-1013; 2010-07-08; nie; 75; 2; 4
PL-0012-1014; 2010-07-09; nie; 61; 15; 4
PL-0012-1015; 2010-07-10; nie; 71; 14; 16
PL-0012-1016; 2010-06-18; tak; 62; 15; 11
PL-0012-1017; 2010-06-19; tak; 76; 15; 8
PL-0012-1018; 2010-06-20; tak; 104; 10; 1
PL-0012-1019; 2010-06-21; nie; 78; 2; 15
PL-0012-1020; 2010-06-22; tak; 63; 17; 18
PL-0012-1021; 2010-06-23; tak; 116; 12; 20
PL-0012-1022; 2010-06-24; tak; 98; 5; 13
PL-0012-1023; 2010-06-25; tak; 89; 2; 17
PL-0012-1024; 2010-06-16; nie; 74; 7; 4
PL-0012-1025; 2010-06-17; nie; 87; 6; 13
PL-0012-1026; 2010-07-09; nie; 101; 18; 3
PL-0012-1027; 2010-07-10; tak; 107; 19; 14
PL-0012-1028; 2010-06-18; nie; 70; 3; 9
PL-0012-1029; 2010-06-19; nie; 103; 10; 21
PL-0012-1030; 2010-06-20; tak; 72; 4; 20
PL-0012-1031; 2010-06-21; nie; 100; 12; 14
PL-0012-1032; 2010-07-24; nie; 94; 20; 7
PL-0012-1033; 2010-07-25; nie; 94; 11; 9
PL-0012-1034; 2010-07-26; nie; 71; 5; 11
PL-0012-1035; 2010-07-27; nie; 84; 10; 8
PL-0012-1036; 2010-07-28; nie; 82; 13; 10
PL-0012-1037; 2010-07-29; nie; 110; 8; 8
PL-0012-1038; 2010-07-30; nie; 78; 2; 8
PL-0012-1039; 2010-07-30; nie; 85; 18; 12
PL-0012-1040; 2010-07-30; nie; 120; 18; 15
PL-0012-1041; 2010-06-26; nie; 104; 17; 7
PL-0012-1042; 2010-06-27; tak; 84; 15; 2
PL-0012-1043; 2010-06-28; tak; 78; 15; 20
PL-0012-1044; 2010-06-29; nie; 117; 18; 6
PL-0012-1045; 2010-07-24; nie; 111; 16; 13
PL-0012-1046; 2010-07-25; nie; 81; 5; 1
PL-0012-1047; 2010-07-26; nie; 107; 4; 19
PL-0012-1048; 2010-07-27; nie; 112; 14; 15
PL-0012-1049; 2010-07-28; nie; 74; 12; 21
PL-0012-1050; 2010-07-29; nie; 99; 2; 10
PL-0012-1051; 2010-07-30; tak; 95; 3; 13
PL-0012-1052; 2010-06-19; tak; 116; 20; 9
PL-0012-1053; 2010-06-20; tak; 65; 20; 7
PL-0012-1054; 2010-06-21; nie; 115; 12; 14
PL-0012-1055; 2010-06-22; nie; 62; 2; 12
PL-0012-1056; 2010-06-23; nie; 77; 18; 17
PL-0012-1057; 2010-06-24; nie; 80; 13; 17
PL-0012-1058; 2010-06-25; tak; 77; 19; 12
PL-0012-1059; 2010-06-26; nie; 102; 6; 7
PL-0012-1060; 2010-06-27; nie; 102; 9; 12
PL-0012-1061; 2010-06-28; tak; 83; 5; 10
PL-0012-1062; 2010-06-29; nie; 66; 17; 18
PL-0012-1063; 2010-06-30; tak; 74; 7; 12
PL-0012-1064; 2010-07-01; tak; 74; 9; 8
PL-0012-1065; 2010-07-02; tak; 85; 7; 4
PL-0012-1066; 2010-07-03; tak; 85; 6; 3
PL-0012-1067; 2010-07-04; nie; 103; 17; 11
PL-0012-1068; 2010-07-05; nie; 88; 1; 2
PL-0012-1069; 2010-07-06; tak; 68; 6; 16
PL-0012-1070; 2010-07-07; tak; 119; 7; 5
PL-0012-1071; 2010-07-08; tak; 68; 19; 4
PL-0012-1072; 2010-07-09; tak; 60; 13; 21
PL-0012-1073; 2010-07-10; nie; 117; 19; 11
PL-0012-1074; 2010-07-11; nie; 99; 18; 15
PL-0012-1075; 2010-07-12; nie; 79; 14; 19
PL-0012-1076; 2010-07-13; tak; 100; 16; 7
PL-0012-1077; 2010-07-14; nie; 92; 4; 19
PL-0012-1078; 2010-07-15; tak; 88; 8; 14
PL-0012-1079; 2010-07-16; tak; 62; 13; 9
PL-0012-1080; 2010-07-17; tak; 91; 8; 13
PL-0012-1081; 2010-07-18; tak; 84; 10; 3
PL-0012-1082; 2010-07-19; tak; 78; 10; 3
PL-0012-1083; 2010-07-20; nie; 94; 20; 16
PL-0012-1084; 2010-07-21; tak; 81; 7; 14
PL-0012-1085; 2010-07-22; nie; 98; 18; 16
PL-0012-1086; 2010-07-23; nie; 114; 1; 7
PL-0012-1087; 2010-07-24; tak; 87; 18; 19
PL-0012-1088; 2010-07-25; nie; 115; 9; 18
PL-0012-1089; 2010-07-26; tak; 117; 21; 21
PL-0012-1090; 2010-07-27; tak; 105; 4; 14
PL-0012-1091; 2010-07-28; nie; 114; 10; 7
PL-0012-1092; 2010-07-29; nie; 80; 1; 2
PL-0012-1093; 2010-07-30; nie; 119; 19; 4
PL-0012-1094; 2010-07-10; nie; 81; 11; 8
PL-0012-1095; 2010-07-11; nie; 99; 12; 7
PL-0012-1096; 2010-07-12; tak; 90; 8; 16
PL-0012-1097; 2010-07-13; tak; 87; 17; 16
PL-0012-1098; 2010-07-14; nie; 81; 5; 20
PL-0012-1099; 2010-07-15; tak; 105; 6; 19
PL-0012-1100; 2010-07-16; nie; 76; 8; 9
PL-0012-1101; 2010-07-17; tak; 97; 2; 14
PL-0012-1102; 2010-07-18; tak; 109; 5; 14
PL-0012-1103; 2010-07-19; tak; 82; 4; 11
PL-0012-1104; 2010-07-20; nie; 80; 8; 19
PL-0012-1105; 2010-07-21; nie; 75; 1; 18
PL-0012-1106; 2010-07-23; tak; 100; 11; 20
PL-0012-1107; 2010-07-24; tak; 115; 20; 12
PL-0012-1108; 2010-07-25; tak; 90; 1; 12
PL-0012-1109; 2010-07-26; tak; 106; 5; 9
PL-0012-1110; 2010-07-27; nie; 95; 11; 4
PL-0012-1111; 2010-07-28; tak; 66; 2; 21
PL-0012-1112; 2010-07-29; tak; 94; 1; 20
PL-0012-1113; 2010-07-30; tak; 75; 16; 3
PL-0012-1114; 2010-07-31; tak; 78; 3; 7
PL-0012-1115; 2010-08-03; nie; 109; 8; 16
PL-0012-1116; 2010-08-04; tak; 72; 4; 15
PL-0012-1117; 2010-08-05; nie; 102; 18; 18
PL-0012-1118; 2010-08-06; tak; 97; 11; 14
PL-0012-1119; 2010-08-07; tak; 118; 8; 6
PL-0012-1120; 2010-08-08; nie; 62; 4; 19
PL-0012-1121; 2010-08-09; tak; 106; 8; 3
PL-0012-1122; 2010-06-27; nie; 97; 2; 17
PL-0012-1123; 2010-06-28; nie; 84; 21; 20
PL-0012-1124; 2010-06-29; nie; 91; 2; 17
PL-0012-1125; 2010-06-30; tak; 97; 2; 1
PL-0012-1126; 2010-07-01; tak; 99; 1; 1
PL-0012-1127; 2010-07-02; nie; 65; 12; 19
PL-0012-1128; 2010-07-03; nie; 90; 19; 17
PL-0012-1129; 2010-07-04; tak; 118; 15; 14
PL-0012-1130; 2010-07-05; nie; 86; 2; 17
PL-0012-1131; 2010-08-03; nie; 102; 20; 17
PL-0012-1132; 2010-08-04; tak; 101; 9; 13
PL-0012-1133; 2010-08-05; nie; 111; 6; 11
PL-0012-1134; 2010-08-06; nie; 66; 17; 1
PL-0012-1135; 2010-08-07; tak; 110; 17; 4
PL-0012-1136; 2010-08-08; tak; 102; 17; 8
PL-0012-1137; 2010-08-09; nie; 117; 5; 17
PL-0012-1138; 2010-08-10; nie; 95; 13; 1
PL-0012-1139; 2010-08-11; tak; 80; 15; 22
PL-0012-1140; 2010-06-27; tak; 116; 1; 2
PL-0012-1141; 2010-06-28; nie; 68; 2; 12
PL-0012-1142; 2010-06-29; tak; 67; 13; 10
PL-0012-1143; 2010-06-30; nie; 107; 1; 21
PL-0012-1144; 2010-07-01; nie; 83; 13; 21
PL-0012-1145; 2010-07-02; tak; 91; 21; 7
PL-0012-1146; 2010-07-03; nie; 66; 5; 2
PL-0012-1147; 2010-07-04; tak; 82; 3; 8
PL-0012-1148; 2010-07-05; tak; 84; 6; 8
PL-0012-1149; 2010-08-04; tak; 62; 20; 4
PL-0012-1150; 2010-08-05; tak; 106; 2; 13
PL-0012-1151; 2010-08-06; tak; 60; 21; 11
PL-0012-1152; 2010-08-07; nie; 63; 7; 12
PL-0012-1153; 2010-08-08; tak; 105; 19; 5
PL-0012-1154; 2010-08-09; nie; 112; 16; 16
PL-0012-1155; 2010-08-04; nie; 60; 16; 20
PL-0012-1156; 2010-08-05; tak; 110; 18; 10
PL-0012-1157; 2010-08-06; tak; 68; 12; 18
PL-0012-1158; 2010-08-07; tak; 71; 15; 6
PL-0012-1159; 2010-08-08; nie; 76; 14; 15
PL-0012-1160; 2010-08-09; tak; 80; 6; 5
PL-0012-1161; 2010-08-06; nie; 71; 2; 10
PL-0012-1162; 2010-08-07; tak; 71; 15; 10
PL-0012-1163; 2010-08-08; tak; 93; 10; 11
PL-0012-1164; 2010-08-09; tak; 82; 18; 9
PL-0012-1165; 2010-08-10; tak; 101; 18; 2
PL-0012-1166; 2010-08-11; tak; 70; 8; 8
PL-0012-1167; 2010-06-27; tak; 109; 16; 10
PL-0012-1168; 2010-06-28; nie; 94; 17; 15
PL-0012-1169; 2010-06-29; tak; 61; 7; 20
PL-0012-1170; 2010-06-30; nie; 63; 9; 2
PL-0012-1171; 2010-07-01; tak; 102; 2; 14
PL-0012-1172; 2010-07-02; nie; 98; 10; 18
PL-0012-1173; 2010-06-27; tak; 87; 2; 1
PL-0012-1174; 2010-06-28; nie; 85; 14; 1
PL-0012-1175; 2010-06-29; tak; 71; 11; 10
PL-0012-1176; 2010-06-30; nie; 76; 19; 11
PL-0012-1177; 2010-07-01; tak; 94; 11; 6
PL-0012-1178; 2010-07-02; nie; 94; 12; 22
PL-0012-1179; 2010-07-03; tak; 94; 3; 2
PL-0012-1180; 2010-07-04; nie; 104; 7; 13
PL-0012-1181; 2010-07-05; nie; 64; 8; 17
PL-0012-1182; 2010-07-06; tak; 82; 11; 3
PL-0012-1183; 2010-07-07; tak; 62; 19; 10
PL-0012-1184; 2010-07-08; nie; 98; 11; 4
PL-0012-1185; 2010-07-09; tak; 71; 2; 22
PL-0012-1186; 2010-07-10; nie; 113; 3; 14
PL-0012-1187; 2010-07-11; nie; 100; 7; 15
PL-0012-1188; 2010-06-22; tak; 72; 17; 15
PL-0012-1189; 2010-06-23; nie; 93; 20; 6
PL-0012-1190; 2010-06-24; nie; 116; 3; 2
PL-0012-1191; 2010-06-25; tak; 109; 10; 9
PL-0012-1192; 2010-06-26; tak; 66; 11; 22
PL-0012-1193; 2010-06-27; tak; 109; 2; 7
PL-0012-1194; 2010-06-28; tak; 90; 18; 16
PL-0012-1195; 2010-06-29; nie; 71; 18; 3
PL-0012-1196; 2010-06-30; nie; 67; 15; 11
PL-0012-1197; 2010-07-01; nie; 78; 19; 18
PL-0012-1198; 2010-07-02; tak; 72; 14; 13
PL-0012-1199; 2010-07-03; nie; 117; 14; 12
PL-0012-1200; 2010-07-04; tak; 60; 20; 7
PL-0012-1201; 2010-08-19; nie; 115; 17; 10
PL-0012-1202; 2010-06-27; tak; 119; 5; 2
PL-0012-1203; 2010-06-10; nie; 100; 6; 7
PL-0012-1204; 2010-08-31; nie; 87; 9; 12
PL-0012-1205; 2010-08-20; tak; 86; 11; 9
PL-0012-1206; 2010-06-15; nie; 97; 15; 5
PL-0012-1207; 2010-06-15; nie; 88; 16; 7
PL-0012-1208; 2010-06-15; tak; 63; 10; 21
PL-0012-1209; 2010-08-12; nie; 84; 20; 8
PL-0012-1210; 2010-06-15; nie; 101; 8; 9
PL-0012-1211; 2010-08-15; nie; 83; 18; 20
PL-0012-1212; 2010-06-12; nie; 97; 18; 3
PL-0012-1213; 2010-07-07; tak; 119; 2; 10
PL-0012-1214; 2010-07-18; nie; 109; 8; 11
PL-0012-1215; 2010-07-16; tak; 118; 14; 2
PL-0012-1216; 2010-08-11; tak; 112; 20; 13
PL-0012-1217; 2010-08-13; nie; 80; 9; 21
PL-0012-1218; 2010-07-29; tak; 94; 13; 6
PL-0012-1219; 2010-06-25; tak; 96; 12; 3
PL-0012-1220; 2010-07-24; nie; 105; 17; 14
PL-0012-1221; 2010-06-25; tak; 114; 18; 10
PL-0012-1222; 2010-08-15; nie; 105; 10; 15
PL-0012-1223; 2010-07-01; tak; 100; 7; 17
PL-0012-1224; 2010-08-24; nie; 78; 15; 17
PL-0012-1225; 2010-08-31; nie; 107; 21; 2
PL-0012-1226; 2010-06-01; nie; 88; 10; 15
PL-0012-1227; 2010-08-28; tak; 73; 9; 7
